year,Katya
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,5
1963,0
1964,7
1965,7
1966,6
1967,9
1968,8
1969,10
1970,14
1971,11
1972,14
1973,11
1974,8
1975,10
1976,13
1977,8
1978,10
1979,7
1980,19
1981,17
1982,12
1983,13
1984,19
1985,27
1986,27
1987,23
1988,27
1989,41
1990,35
1991,40
1992,55
1993,47
1994,73
1995,59
1996,115
1997,71
1998,115
1999,118
2000,145
2001,146
2002,117
2003,101
2004,115
2005,98
2006,109
2007,90
2008,80
2009,85
2010,93
2011,74
2012,75
