year,Kelley (F),Kelley (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000023
1883,0.000000,0.000000
1884,0.000000,0.000025
1885,0.000000,0.000000
1886,0.000000,0.000024
1887,0.000000,0.000024
1888,0.000000,0.000020
1889,0.000000,0.000000
1890,0.000000,0.000017
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000018
1894,0.000000,0.000018
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000026
1898,0.000000,0.000016
1899,0.000000,0.000000
1900,0.000000,0.000038
1901,0.000000,0.000023
1902,0.000000,0.000028
1903,0.000000,0.000000
1904,0.000000,0.000012
1905,0.000000,0.000019
1906,0.000000,0.000012
1907,0.000000,0.000019
1908,0.000000,0.000023
1909,0.000000,0.000014
1910,0.000000,0.000019
1911,0.000000,0.000025
1912,0.000000,0.000018
1913,0.000000,0.000019
1914,0.000000,0.000012
1915,0.000000,0.000018
1916,0.000000,0.000016
1917,0.000000,0.000016
1918,0.000000,0.000014
1919,0.000003,0.000016
1920,0.000002,0.000020
1921,0.000000,0.000014
1922,0.000000,0.000012
1923,0.000000,0.000013
1924,0.000000,0.000010
1925,0.000000,0.000013
1926,0.000000,0.000014
1927,0.000000,0.000014
1928,0.000000,0.000012
1929,0.000000,0.000013
1930,0.000000,0.000011
1931,0.000000,0.000012
1932,0.000000,0.000010
1933,0.000000,0.000010
1934,0.000000,0.000008
1935,0.000000,0.000018
1936,0.000000,0.000009
1937,0.000000,0.000011
1938,0.000000,0.000010
1939,0.000000,0.000011
1940,0.000002,0.000013
1941,0.000002,0.000014
1942,0.000003,0.000015
1943,0.000002,0.000011
1944,0.000002,0.000012
1945,0.000005,0.000014
1946,0.000002,0.000014
1947,0.000002,0.000013
1948,0.000003,0.000009
1949,0.000003,0.000010
1950,0.000007,0.000013
1951,0.000010,0.000015
1952,0.000014,0.000017
1953,0.000012,0.000020
1954,0.000018,0.000016
1955,0.000022,0.000018
1956,0.000039,0.000026
1957,0.000069,0.000026
1958,0.000157,0.000036
1959,0.000197,0.000034
1960,0.000242,0.000037
1961,0.000302,0.000035
1962,0.000325,0.000034
1963,0.000374,0.000029
1964,0.000395,0.000032
1965,0.000403,0.000030
1966,0.000436,0.000039
1967,0.000467,0.000039
1968,0.000567,0.000050
1969,0.000485,0.000043
1970,0.000415,0.000037
1971,0.000375,0.000041
1972,0.000387,0.000032
1973,0.000398,0.000032
1974,0.000397,0.000038
1975,0.000387,0.000033
1976,0.000362,0.000039
1977,0.000473,0.000028
1978,0.000430,0.000027
1979,0.000361,0.000024
1980,0.000315,0.000032
1981,0.000275,0.000028
1982,0.000287,0.000026
1983,0.000262,0.000018
1984,0.000228,0.000019
1985,0.000213,0.000021
1986,0.000281,0.000021
1987,0.000332,0.000017
1988,0.000305,0.000017
1989,0.000249,0.000024
1990,0.000224,0.000015
1991,0.000180,0.000015
1992,0.000183,0.000017
1993,0.000151,0.000009
1994,0.000134,0.000013
1995,0.000115,0.000010
1996,0.000096,0.000009
1997,0.000082,0.000007
1998,0.000075,0.000007
1999,0.000064,0.000009
2000,0.000055,0.000008
2001,0.000041,0.000009
2002,0.000045,0.000005
2003,0.000034,0.000006
2004,0.000028,0.000005
2005,0.000019,0.000004
2006,0.000023,0.000006
2007,0.000016,0.000005
2008,0.000016,0.000005
2009,0.000014,0.000004
2010,0.000015,0.000005
2011,0.000010,0.000006
2012,0.000013,0.000004
2013,0.000007,0.000005
2014,0.000011,0.000002
2015,0.000008,0.000004
2016,0.000006,0.000005
2017,0.000006,0.000004
2018,0.000008,0.000006
2019,0.000007,0.000005
2020,0.000008,0.000005
