year,Kathryne
1880,6
1881,6
1882,9
1883,8
1884,9
1885,13
1886,16
1887,15
1888,19
1889,17
1890,7
1891,8
1892,15
1893,11
1894,13
1895,18
1896,19
1897,15
1898,23
1899,19
1900,25
1901,21
1902,16
1903,19
1904,25
1905,14
1906,20
1907,19
1908,21
1909,30
1910,31
1911,44
1912,48
1913,63
1914,77
1915,70
1916,104
1917,103
1918,108
1919,81
1920,97
1921,95
1922,94
1923,79
1924,63
1925,78
1926,61
1927,64
1928,52
1929,44
1930,40
1931,46
1932,33
1933,23
1934,23
1935,29
1936,26
1937,29
1938,22
1939,31
1940,38
1941,46
1942,45
1943,42
1944,46
1945,40
1946,52
1947,80
1948,77
1949,60
1950,56
1951,69
1952,77
1953,77
1954,64
1955,63
1956,55
1957,49
1958,69
1959,40
1960,41
1961,42
1962,34
1963,42
1964,42
1965,36
1966,28
1967,34
1968,26
1969,37
1970,40
1971,26
1972,28
1973,29
1974,27
1975,36
1976,30
1977,50
1978,42
1979,30
1980,50
1981,50
1982,40
1983,59
1984,50
1985,76
1986,61
1987,76
1988,93
1989,91
1990,117
1991,74
1992,91
1993,83
1994,74
1995,70
1996,63
1997,51
1998,64
1999,39
2000,55
2001,42
2002,42
2003,25
2004,37
2005,38
2006,31
2007,31
2008,23
2009,22
2010,16
2011,13
2012,13
