year,Kathlynn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,5
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,8
1944,0
1945,8
1946,7
1947,8
1948,9
1949,7
1950,13
1951,14
1952,18
1953,13
1954,10
1955,9
1956,8
1957,0
1958,6
1959,5
1960,5
1961,7
1962,0
1963,5
1964,7
1965,0
1966,0
1967,5
1968,0
1969,0
1970,7
1971,5
1972,0
1973,0
1974,0
1975,5
1976,0
1977,8
1978,6
1979,6
1980,8
1981,5
1982,5
1983,0
1984,6
1985,6
1986,5
1987,7
1988,12
1989,6
1990,10
1991,13
1992,12
1993,11
1994,10
1995,20
1996,7
1997,7
1998,7
1999,14
2000,10
2001,6
2002,5
2003,15
2004,8
2005,10
2006,6
2007,5
2008,9
2009,7
2010,11
2011,9
2012,8
