year,Karli
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,5
1962,0
1963,6
1964,0
1965,0
1966,6
1967,0
1968,0
1969,5
1970,8
1971,5
1972,13
1973,24
1974,46
1975,39
1976,35
1977,36
1978,44
1979,57
1980,59
1981,78
1982,127
1983,97
1984,135
1985,133
1986,145
1987,181
1988,196
1989,176
1990,206
1991,327
1992,407
1993,353
1994,425
1995,380
1996,374
1997,416
1998,406
1999,372
2000,394
2001,359
2002,398
2003,324
2004,389
2005,398
2006,311
2007,289
2008,308
2009,266
2010,277
2011,212
2012,198
