year,Kitty
1880,9
1881,22
1882,19
1883,16
1884,16
1885,18
1886,31
1887,33
1888,28
1889,28
1890,27
1891,29
1892,29
1893,31
1894,29
1895,30
1896,35
1897,30
1898,37
1899,25
1900,39
1901,32
1902,39
1903,29
1904,23
1905,33
1906,37
1907,38
1908,32
1909,41
1910,46
1911,48
1912,55
1913,58
1914,81
1915,105
1916,89
1917,91
1918,97
1919,89
1920,85
1921,83
1922,95
1923,107
1924,127
1925,127
1926,127
1927,117
1928,122
1929,119
1930,114
1931,123
1932,126
1933,121
1934,123
1935,130
1936,105
1937,106
1938,136
1939,121
1940,150
1941,171
1942,168
1943,182
1944,174
1945,211
1946,294
1947,358
1948,289
1949,238
1950,227
1951,228
1952,193
1953,209
1954,220
1955,269
1956,278
1957,261
1958,355
1959,312
1960,263
1961,231
1962,235
1963,186
1964,169
1965,127
1966,126
1967,88
1968,77
1969,73
1970,84
1971,68
1972,66
1973,65
1974,62
1975,42
1976,42
1977,62
1978,57
1979,54
1980,43
1981,48
1982,27
1983,29
1984,23
1985,23
1986,24
1987,18
1988,29
1989,16
1990,21
1991,30
1992,16
1993,23
1994,9
1995,21
1996,20
1997,23
1998,18
1999,26
2000,16
2001,17
2002,11
2003,12
2004,22
2005,16
2006,14
2007,11
2008,15
2009,8
2010,11
2011,10
2012,10
