year,Karl (F),Karl (M)
1880,0.000000,0.000104
1881,0.000000,0.000151
1882,0.000000,0.000181
1883,0.000000,0.000152
1884,0.000000,0.000140
1885,0.000000,0.000183
1886,0.000000,0.000188
1887,0.000000,0.000198
1888,0.000000,0.000237
1889,0.000000,0.000173
1890,0.000000,0.000156
1891,0.000000,0.000213
1892,0.000000,0.000176
1893,0.000000,0.000194
1894,0.000000,0.000216
1895,0.000000,0.000191
1896,0.000000,0.000168
1897,0.000000,0.000164
1898,0.000000,0.000139
1899,0.000000,0.000144
1900,0.000000,0.000167
1901,0.000000,0.000156
1902,0.000000,0.000168
1903,0.000000,0.000184
1904,0.000000,0.000166
1905,0.000000,0.000153
1906,0.000000,0.000252
1907,0.000000,0.000191
1908,0.000000,0.000199
1909,0.000000,0.000200
1910,0.000000,0.000156
1911,0.000000,0.000242
1912,0.000000,0.000327
1913,0.000000,0.000340
1914,0.000000,0.000387
1915,0.000003,0.000390
1916,0.000004,0.000354
1917,0.000000,0.000335
1918,0.000000,0.000276
1919,0.000003,0.000244
1920,0.000000,0.000222
1921,0.000000,0.000245
1922,0.000000,0.000230
1923,0.000000,0.000245
1924,0.000002,0.000245
1925,0.000003,0.000252
1926,0.000000,0.000259
1927,0.000003,0.000272
1928,0.000004,0.000265
1929,0.000003,0.000291
1930,0.000003,0.000291
1931,0.000003,0.000302
1932,0.000000,0.000317
1933,0.000003,0.000341
1934,0.000003,0.000331
1935,0.000000,0.000388
1936,0.000002,0.000400
1937,0.000000,0.000426
1938,0.000000,0.000445
1939,0.000000,0.000393
1940,0.000000,0.000371
1941,0.000000,0.000355
1942,0.000002,0.000321
1943,0.000002,0.000321
1944,0.000000,0.000311
1945,0.000000,0.000286
1946,0.000000,0.000312
1947,0.000002,0.000311
1948,0.000000,0.000344
1949,0.000000,0.000379
1950,0.000000,0.000372
1951,0.000002,0.000391
1952,0.000000,0.000412
1953,0.000000,0.000429
1954,0.000000,0.000437
1955,0.000002,0.000482
1956,0.000003,0.000499
1957,0.000001,0.000557
1958,0.000003,0.000568
1959,0.000005,0.000566
1960,0.000005,0.000624
1961,0.000004,0.000616
1962,0.000005,0.000608
1963,0.000006,0.000635
1964,0.000005,0.000618
1965,0.000005,0.000558
1966,0.000005,0.000515
1967,0.000009,0.000499
1968,0.000007,0.000474
1969,0.000011,0.000450
1970,0.000006,0.000437
1971,0.000007,0.000385
1972,0.000008,0.000371
1973,0.000011,0.000327
1974,0.000009,0.000330
1975,0.000008,0.000300
1976,0.000009,0.000286
1977,0.000008,0.000296
1978,0.000007,0.000284
1979,0.000006,0.000288
1980,0.000007,0.000307
1981,0.000008,0.000307
1982,0.000008,0.000278
1983,0.000008,0.000264
1984,0.000007,0.000257
1985,0.000009,0.000269
1986,0.000008,0.000254
1987,0.000006,0.000237
1988,0.000006,0.000228
1989,0.000004,0.000236
1990,0.000002,0.000217
1991,0.000002,0.000208
1992,0.000000,0.000192
1993,0.000002,0.000176
1994,0.000000,0.000165
1995,0.000000,0.000163
1996,0.000000,0.000138
1997,0.000000,0.000133
1998,0.000000,0.000124
1999,0.000000,0.000105
2000,0.000000,0.000097
2001,0.000000,0.000094
2002,0.000000,0.000088
2003,0.000000,0.000079
2004,0.000000,0.000074
2005,0.000000,0.000069
2006,0.000000,0.000068
2007,0.000000,0.000060
2008,0.000000,0.000048
2009,0.000000,0.000054
2010,0.000000,0.000048
2011,0.000000,0.000047
2012,0.000000,0.000044
2013,0.000000,0.000046
2014,0.000000,0.000044
2015,0.000000,0.000050
2016,0.000000,0.000046
2017,0.000000,0.000040
2018,0.000000,0.000041
2019,0.000000,0.000041
2020,0.000000,0.000031
