year,Kandyce
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,5
1947,9
1948,11
1949,8
1950,8
1951,10
1952,20
1953,12
1954,9
1955,9
1956,5
1957,9
1958,9
1959,9
1960,9
1961,0
1962,6
1963,6
1964,6
1965,0
1966,7
1967,0
1968,5
1969,9
1970,9
1971,13
1972,8
1973,9
1974,6
1975,8
1976,9
1977,7
1978,11
1979,18
1980,22
1981,31
1982,25
1983,43
1984,37
1985,52
1986,47
1987,42
1988,53
1989,48
1990,50
1991,60
1992,42
1993,40
1994,21
1995,33
1996,32
1997,19
1998,28
1999,22
2000,27
2001,32
2002,23
2003,26
2004,28
2005,13
2006,21
2007,37
2008,30
2009,34
2010,13
2011,19
2012,14
