year,Kelvin (F),Kelvin (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000006
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000003
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000002
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000004
1925,0.000000,0.000004
1926,0.000000,0.000002
1927,0.000000,0.000004
1928,0.000000,0.000005
1929,0.000000,0.000004
1930,0.000000,0.000004
1931,0.000000,0.000007
1932,0.000000,0.000004
1933,0.000000,0.000003
1934,0.000000,0.000011
1935,0.000000,0.000016
1936,0.000000,0.000018
1937,0.000000,0.000006
1938,0.000000,0.000007
1939,0.000000,0.000010
1940,0.000000,0.000009
1941,0.000000,0.000007
1942,0.000000,0.000008
1943,0.000000,0.000004
1944,0.000000,0.000005
1945,0.000000,0.000008
1946,0.000000,0.000007
1947,0.000000,0.000007
1948,0.000000,0.000010
1949,0.000000,0.000012
1950,0.000000,0.000040
1951,0.000000,0.000049
1952,0.000000,0.000068
1953,0.000000,0.000073
1954,0.000000,0.000111
1955,0.000000,0.000132
1956,0.000001,0.000184
1957,0.000000,0.000192
1958,0.000001,0.000186
1959,0.000002,0.000244
1960,0.000003,0.000313
1961,0.000002,0.000330
1962,0.000002,0.000329
1963,0.000002,0.000336
1964,0.000002,0.000324
1965,0.000003,0.000330
1966,0.000001,0.000311
1967,0.000003,0.000312
1968,0.000003,0.000295
1969,0.000003,0.000272
1970,0.000003,0.000253
1971,0.000002,0.000256
1972,0.000004,0.000281
1973,0.000003,0.000274
1974,0.000003,0.000252
1975,0.000004,0.000241
1976,0.000000,0.000242
1977,0.000002,0.000247
1978,0.000002,0.000237
1979,0.000002,0.000200
1980,0.000001,0.000178
1981,0.000000,0.000188
1982,0.000000,0.000207
1983,0.000003,0.000192
1984,0.000002,0.000198
1985,0.000003,0.000207
1986,0.000003,0.000201
1987,0.000003,0.000207
1988,0.000002,0.000215
1989,0.000003,0.000215
1990,0.000001,0.000219
1991,0.000001,0.000214
1992,0.000003,0.000207
1993,0.000002,0.000205
1994,0.000000,0.000202
1995,0.000002,0.000194
1996,0.000000,0.000186
1997,0.000000,0.000165
1998,0.000000,0.000190
1999,0.000000,0.000186
2000,0.000000,0.000174
2001,0.000000,0.000165
2002,0.000000,0.000176
2003,0.000000,0.000169
2004,0.000001,0.000165
2005,0.000000,0.000160
2006,0.000000,0.000160
2007,0.000000,0.000156
2008,0.000000,0.000154
2009,0.000000,0.000150
2010,0.000000,0.000135
2011,0.000000,0.000127
2012,0.000000,0.000130
2013,0.000000,0.000113
