year,Krystyna
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,9
1953,7
1954,6
1955,0
1956,11
1957,8
1958,16
1959,13
1960,14
1961,10
1962,7
1963,14
1964,11
1965,11
1966,18
1967,10
1968,9
1969,11
1970,13
1971,13
1972,22
1973,16
1974,19
1975,16
1976,15
1977,17
1978,26
1979,21
1980,31
1981,27
1982,26
1983,41
1984,47
1985,48
1986,47
1987,81
1988,85
1989,86
1990,91
1991,71
1992,71
1993,52
1994,50
1995,44
1996,37
1997,33
1998,28
1999,34
2000,30
2001,30
2002,19
2003,30
2004,18
2005,23
2006,16
2007,17
2008,12
2009,16
2010,6
2011,12
2012,5
