year,Kristal
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,7
1952,8
1953,10
1954,13
1955,17
1956,21
1957,22
1958,29
1959,54
1960,73
1961,58
1962,66
1963,88
1964,77
1965,91
1966,94
1967,99
1968,159
1969,150
1970,197
1971,260
1972,250
1973,246
1974,217
1975,236
1976,262
1977,330
1978,365
1979,425
1980,401
1981,495
1982,582
1983,544
1984,490
1985,452
1986,386
1987,356
1988,319
1989,312
1990,307
1991,273
1992,230
1993,232
1994,199
1995,205
1996,175
1997,166
1998,145
1999,155
2000,139
2001,141
2002,133
2003,122
2004,134
2005,118
2006,88
2007,106
2008,96
2009,89
2010,85
2011,70
2012,72
