year,Katey
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,5
1950,0
1951,0
1952,6
1953,0
1954,0
1955,5
1956,0
1957,6
1958,0
1959,6
1960,9
1961,7
1962,5
1963,0
1964,7
1965,8
1966,0
1967,8
1968,0
1969,7
1970,9
1971,13
1972,6
1973,13
1974,11
1975,15
1976,26
1977,27
1978,43
1979,37
1980,59
1981,46
1982,50
1983,61
1984,70
1985,85
1986,72
1987,74
1988,77
1989,71
1990,79
1991,84
1992,106
1993,92
1994,80
1995,81
1996,61
1997,62
1998,67
1999,70
2000,41
2001,48
2002,46
2003,57
2004,50
2005,56
2006,50
2007,52
2008,35
2009,25
2010,34
2011,16
2012,18
