year,Kervin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,5
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,7
1937,0
1938,5
1939,0
1940,0
1941,0
1942,0
1943,5
1944,0
1945,0
1946,0
1947,6
1948,0
1949,0
1950,0
1951,0
1952,0
1953,18
1954,5
1955,15
1956,0
1957,14
1958,10
1959,17
1960,16
1961,16
1962,22
1963,30
1964,22
1965,21
1966,16
1967,27
1968,30
1969,27
1970,26
1971,24
1972,23
1973,12
1974,19
1975,21
1976,18
1977,15
1978,16
1979,23
1980,15
1981,25
1982,26
1983,26
1984,26
1985,22
1986,35
1987,30
1988,37
1989,46
1990,37
1991,27
1992,29
1993,45
1994,38
1995,20
1996,25
1997,21
1998,22
1999,24
2000,19
2001,24
2002,21
2003,20
2004,17
2005,22
2006,20
2007,22
2008,21
2009,19
2010,13
2011,16
2012,17
