year,Keefe
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,5
1953,5
1954,9
1955,10
1956,20
1957,9
1958,7
1959,9
1960,13
1961,0
1962,8
1963,33
1964,15
1965,5
1966,8
1967,13
1968,11
1969,12
1970,12
1971,13
1972,13
1973,16
1974,12
1975,13
1976,14
1977,13
1978,14
1979,11
1980,13
1981,10
1982,10
1983,13
1984,20
1985,13
1986,10
1987,8
1988,13
1989,13
1990,23
1991,18
1992,13
1993,8
1994,16
1995,18
1996,17
1997,12
1998,7
1999,10
2000,12
2001,5
2002,8
2003,0
2004,5
2005,6
2006,8
2007,6
2008,9
2009,0
2010,6
2011,0
2012,5
