year,Kasey (F),Kasey (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000000
1913,0.000000,0.000000
1914,0.000000,0.000000
1915,0.000000,0.000000
1916,0.000000,0.000000
1917,0.000000,0.000000
1918,0.000000,0.000000
1919,0.000000,0.000000
1920,0.000000,0.000000
1921,0.000000,0.000000
1922,0.000000,0.000000
1923,0.000000,0.000000
1924,0.000000,0.000000
1925,0.000000,0.000000
1926,0.000000,0.000000
1927,0.000000,0.000000
1928,0.000000,0.000000
1929,0.000000,0.000000
1930,0.000000,0.000000
1931,0.000000,0.000000
1932,0.000000,0.000000
1933,0.000000,0.000000
1934,0.000000,0.000000
1935,0.000000,0.000000
1936,0.000000,0.000000
1937,0.000000,0.000000
1938,0.000000,0.000000
1939,0.000000,0.000000
1940,0.000000,0.000000
1941,0.000000,0.000000
1942,0.000000,0.000000
1943,0.000000,0.000000
1944,0.000000,0.000000
1945,0.000000,0.000000
1946,0.000000,0.000000
1947,0.000000,0.000000
1948,0.000000,0.000000
1949,0.000000,0.000000
1950,0.000001,0.000000
1951,0.000000,0.000000
1952,0.000000,0.000001
1953,0.000000,0.000000
1954,0.000000,0.000001
1955,0.000001,0.000002
1956,0.000002,0.000001
1957,0.000002,0.000003
1958,0.000004,0.000003
1959,0.000004,0.000002
1960,0.000003,0.000003
1961,0.000003,0.000002
1962,0.000007,0.000006
1963,0.000006,0.000004
1964,0.000006,0.000009
1965,0.000020,0.000009
1966,0.000021,0.000009
1967,0.000016,0.000007
1968,0.000027,0.000013
1969,0.000028,0.000009
1970,0.000040,0.000013
1971,0.000046,0.000022
1972,0.000074,0.000021
1973,0.000080,0.000028
1974,0.000094,0.000031
1975,0.000102,0.000043
1976,0.000100,0.000047
1977,0.000116,0.000051
1978,0.000161,0.000072
1979,0.000201,0.000064
1980,0.000190,0.000069
1981,0.000216,0.000078
1982,0.000206,0.000070
1983,0.000222,0.000057
1984,0.000248,0.000078
1985,0.000246,0.000084
1986,0.000332,0.000084
1987,0.000365,0.000105
1988,0.000351,0.000108
1989,0.000335,0.000105
1990,0.000337,0.000118
1991,0.000336,0.000120
1992,0.000363,0.000104
1993,0.000318,0.000100
1994,0.000303,0.000091
1995,0.000315,0.000078
1996,0.000308,0.000091
1997,0.000261,0.000078
1998,0.000273,0.000079
1999,0.000223,0.000067
2000,0.000199,0.000058
2001,0.000165,0.000046
2002,0.000152,0.000046
2003,0.000140,0.000042
2004,0.000128,0.000071
2005,0.000123,0.000090
2006,0.000131,0.000085
2007,0.000124,0.000082
2008,0.000112,0.000068
2009,0.000093,0.000055
2010,0.000093,0.000048
2011,0.000075,0.000043
2012,0.000070,0.000039
