year,Katherina
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,5
1890,5
1891,6
1892,9
1893,8
1894,0
1895,6
1896,5
1897,6
1898,0
1899,5
1900,0
1901,5
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,7
1912,0
1913,0
1914,8
1915,5
1916,0
1917,7
1918,10
1919,10
1920,7
1921,0
1922,7
1923,6
1924,6
1925,8
1926,5
1927,0
1928,6
1929,0
1930,5
1931,0
1932,5
1933,0
1934,0
1935,0
1936,6
1937,6
1938,0
1939,0
1940,5
1941,0
1942,0
1943,0
1944,0
1945,0
1946,6
1947,0
1948,9
1949,7
1950,7
1951,6
1952,7
1953,12
1954,14
1955,17
1956,18
1957,22
1958,9
1959,11
1960,14
1961,16
1962,29
1963,20
1964,26
1965,21
1966,23
1967,26
1968,31
1969,27
1970,18
1971,23
1972,20
1973,22
1974,15
1975,18
1976,20
1977,16
1978,16
1979,18
1980,16
1981,17
1982,17
1983,16
1984,25
1985,15
1986,19
1987,18
1988,33
1989,24
1990,36
1991,46
1992,30
1993,24
1994,35
1995,26
1996,22
1997,37
1998,26
1999,27
2000,24
2001,28
2002,19
2003,13
2004,17
2005,18
2006,18
2007,14
2008,10
2009,13
2010,14
2011,8
2012,13
