year,Kareen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,5
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,8
1933,5
1934,10
1935,6
1936,11
1937,8
1938,18
1939,12
1940,19
1941,15
1942,24
1943,18
1944,16
1945,12
1946,14
1947,22
1948,26
1949,9
1950,14
1951,15
1952,15
1953,15
1954,18
1955,15
1956,10
1957,12
1958,24
1959,14
1960,20
1961,15
1962,23
1963,16
1964,14
1965,22
1966,22
1967,19
1968,21
1969,20
1970,15
1971,14
1972,61
1973,58
1974,61
1975,100
1976,76
1977,86
1978,65
1979,47
1980,58
1981,53
1982,60
1983,41
1984,49
1985,23
1986,26
1987,25
1988,38
1989,42
1990,38
1991,27
1992,29
1993,38
1994,24
1995,21
1996,7
1997,17
1998,19
1999,26
2000,22
2001,17
2002,14
2003,11
2004,16
2005,7
2006,11
2007,5
2008,15
2009,13
2010,15
2011,0
2012,13
