year,Keirsten
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,5
1969,13
1970,11
1971,10
1972,10
1973,8
1974,8
1975,13
1976,12
1977,7
1978,5
1979,5
1980,10
1981,5
1982,0
1983,8
1984,10
1985,0
1986,13
1987,19
1988,12
1989,25
1990,31
1991,37
1992,37
1993,58
1994,48
1995,53
1996,65
1997,48
1998,58
1999,51
2000,61
2001,57
2002,61
2003,47
2004,61
2005,66
2006,45
2007,54
2008,43
2009,29
2010,33
2011,28
2012,20
