year,Koreen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,5
1942,0
1943,5
1944,0
1945,0
1946,0
1947,5
1948,10
1949,7
1950,8
1951,11
1952,6
1953,10
1954,13
1955,6
1956,13
1957,20
1958,19
1959,10
1960,25
1961,20
1962,24
1963,21
1964,23
1965,12
1966,19
1967,24
1968,23
1969,28
1970,20
1971,22
1972,17
1973,25
1974,23
1975,20
1976,13
1977,25
1978,17
1979,12
1980,8
1981,5
1982,11
1983,5
1984,8
1985,0
1986,12
1987,0
1988,5
1989,8
1990,6
1991,0
1992,9
1993,0
1994,6
1995,0
1996,0
1997,0
1998,0
1999,5
2000,0
2001,0
2002,0
2003,0
2004,0
2005,0
2006,5
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
