year,Kimo
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,8
1950,0
1951,0
1952,5
1953,0
1954,7
1955,9
1956,0
1957,7
1958,5
1959,8
1960,13
1961,11
1962,7
1963,6
1964,15
1965,9
1966,11
1967,10
1968,12
1969,10
1970,13
1971,9
1972,22
1973,16
1974,21
1975,10
1976,20
1977,22
1978,14
1979,20
1980,24
1981,28
1982,16
1983,16
1984,21
1985,14
1986,24
1987,7
1988,13
1989,14
1990,18
1991,15
1992,11
1993,10
1994,8
1995,14
1996,12
1997,14
1998,13
1999,7
2000,8
2001,16
2002,19
2003,18
2004,19
2005,9
2006,21
2007,7
2008,17
2009,6
2010,11
2011,11
2012,0
