year,Kent (F),Kent (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000021
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000024
1892,0.000000,0.000000
1893,0.000000,0.000025
1894,0.000000,0.000015
1895,0.000000,0.000017
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000015
1900,0.000000,0.000011
1901,0.000000,0.000000
1902,0.000000,0.000016
1903,0.000000,0.000018
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000014
1907,0.000000,0.000017
1908,0.000000,0.000020
1909,0.000000,0.000025
1910,0.000000,0.000019
1911,0.000000,0.000028
1912,0.000000,0.000022
1913,0.000000,0.000031
1914,0.000000,0.000018
1915,0.000000,0.000025
1916,0.000000,0.000030
1917,0.000000,0.000028
1918,0.000000,0.000024
1919,0.000000,0.000030
1920,0.000000,0.000040
1921,0.000000,0.000030
1922,0.000000,0.000043
1923,0.000000,0.000043
1924,0.000000,0.000037
1925,0.000000,0.000052
1926,0.000002,0.000054
1927,0.000000,0.000053
1928,0.000000,0.000057
1929,0.000000,0.000063
1930,0.000000,0.000075
1931,0.000000,0.000085
1932,0.000000,0.000099
1933,0.000000,0.000099
1934,0.000000,0.000120
1935,0.000000,0.000168
1936,0.000000,0.000210
1937,0.000000,0.000190
1938,0.000000,0.000197
1939,0.000000,0.000225
1940,0.000000,0.000251
1941,0.000000,0.000277
1942,0.000000,0.000262
1943,0.000000,0.000288
1944,0.000002,0.000275
1945,0.000000,0.000270
1946,0.000000,0.000278
1947,0.000000,0.000311
1948,0.000000,0.000297
1949,0.000000,0.000307
1950,0.000000,0.000352
1951,0.000002,0.000359
1952,0.000000,0.000426
1953,0.000001,0.000425
1954,0.000002,0.000432
1955,0.000001,0.000462
1956,0.000001,0.000518
1957,0.000000,0.000547
1958,0.000000,0.000581
1959,0.000002,0.000594
1960,0.000001,0.000577
1961,0.000003,0.000573
1962,0.000001,0.000640
1963,0.000002,0.000607
1964,0.000002,0.000577
1965,0.000002,0.000510
1966,0.000003,0.000452
1967,0.000003,0.000411
1968,0.000002,0.000361
1969,0.000000,0.000352
1970,0.000002,0.000320
1971,0.000003,0.000292
1972,0.000002,0.000250
1973,0.000000,0.000242
1974,0.000002,0.000191
1975,0.000000,0.000166
1976,0.000000,0.000167
1977,0.000000,0.000153
1978,0.000000,0.000157
1979,0.000000,0.000145
1980,0.000000,0.000145
1981,0.000001,0.000144
1982,0.000002,0.000159
1983,0.000001,0.000160
1984,0.000001,0.000157
1985,0.000000,0.000150
1986,0.000000,0.000131
1987,0.000000,0.000123
1988,0.000000,0.000125
1989,0.000000,0.000114
1990,0.000000,0.000100
1991,0.000000,0.000094
1992,0.000000,0.000096
1993,0.000000,0.000088
1994,0.000000,0.000081
1995,0.000000,0.000062
1996,0.000000,0.000070
1997,0.000000,0.000066
1998,0.000000,0.000062
1999,0.000000,0.000052
2000,0.000000,0.000057
2001,0.000000,0.000047
2002,0.000000,0.000045
2003,0.000000,0.000051
2004,0.000000,0.000042
2005,0.000000,0.000040
2006,0.000000,0.000035
2007,0.000000,0.000037
2008,0.000000,0.000036
2009,0.000000,0.000032
2010,0.000000,0.000035
2011,0.000000,0.000036
2012,0.000000,0.000031
2013,0.000000,0.000044
2014,0.000000,0.000040
2015,0.000000,0.000042
2016,0.000000,0.000045
2017,0.000000,0.000039
2018,0.000000,0.000044
2019,0.000000,0.000035
2020,0.000000,0.000037
