year,Karmen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,6
1936,6
1937,5
1938,5
1939,12
1940,9
1941,14
1942,24
1943,12
1944,10
1945,9
1946,7
1947,9
1948,7
1949,12
1950,13
1951,10
1952,16
1953,13
1954,15
1955,17
1956,26
1957,24
1958,28
1959,30
1960,43
1961,50
1962,49
1963,59
1964,73
1965,61
1966,44
1967,80
1968,66
1969,72
1970,79
1971,92
1972,73
1973,82
1974,80
1975,74
1976,82
1977,72
1978,62
1979,72
1980,88
1981,71
1982,67
1983,45
1984,67
1985,64
1986,68
1987,56
1988,69
1989,90
1990,89
1991,72
1992,83
1993,77
1994,72
1995,44
1996,51
1997,54
1998,77
1999,74
2000,76
2001,119
2002,88
2003,121
2004,155
2005,168
2006,158
2007,150
2008,244
2009,222
2010,181
2011,225
2012,205
