year,Kristeen
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,5
1945,7
1946,11
1947,16
1948,24
1949,15
1950,25
1951,42
1952,42
1953,28
1954,20
1955,13
1956,18
1957,18
1958,21
1959,21
1960,15
1961,20
1962,24
1963,19
1964,26
1965,39
1966,36
1967,33
1968,24
1969,27
1970,51
1971,53
1972,49
1973,30
1974,29
1975,33
1976,20
1977,29
1978,35
1979,22
1980,19
1981,33
1982,15
1983,17
1984,22
1985,23
1986,22
1987,22
1988,27
1989,25
1990,21
1991,14
1992,17
1993,18
1994,5
1995,11
1996,10
1997,7
1998,10
1999,12
2000,7
2001,5
2002,6
2003,7
2004,0
2005,5
2006,0
2007,0
2008,0
2009,0
2010,0
2011,0
2012,0
