year,Kea
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,9
1965,0
1966,6
1967,7
1968,8
1969,14
1970,11
1971,19
1972,17
1973,15
1974,15
1975,20
1976,17
1977,23
1978,28
1979,19
1980,16
1981,22
1982,17
1983,27
1984,17
1985,16
1986,13
1987,18
1988,9
1989,18
1990,20
1991,20
1992,19
1993,23
1994,13
1995,11
1996,9
1997,10
1998,11
1999,7
2000,13
2001,0
2002,7
2003,13
2004,9
2005,9
2006,8
2007,12
2008,5
2009,10
2010,0
2011,0
2012,6
