year,Keriann
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,0
1961,0
1962,0
1963,0
1964,0
1965,0
1966,0
1967,0
1968,7
1969,9
1970,13
1971,15
1972,11
1973,26
1974,16
1975,35
1976,24
1977,33
1978,19
1979,11
1980,26
1981,40
1982,30
1983,49
1984,62
1985,38
1986,37
1987,50
1988,36
1989,48
1990,34
1991,25
1992,28
1993,37
1994,34
1995,24
1996,17
1997,10
1998,11
1999,15
2000,12
2001,9
2002,9
2003,6
2004,5
2005,8
2006,5
2007,6
2008,6
2009,0
2010,7
2011,5
2012,7
