year,Krysten
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,0
1943,0
1944,0
1945,0
1946,0
1947,0
1948,0
1949,0
1950,0
1951,0
1952,0
1953,0
1954,0
1955,0
1956,0
1957,0
1958,0
1959,0
1960,6
1961,0
1962,0
1963,0
1964,0
1965,5
1966,9
1967,10
1968,11
1969,6
1970,17
1971,11
1972,10
1973,24
1974,21
1975,17
1976,18
1977,15
1978,24
1979,26
1980,48
1981,62
1982,87
1983,102
1984,106
1985,173
1986,182
1987,192
1988,255
1989,237
1990,235
1991,231
1992,185
1993,168
1994,157
1995,130
1996,137
1997,127
1998,112
1999,88
2000,108
2001,68
2002,75
2003,60
2004,54
2005,52
2006,41
2007,34
2008,40
2009,34
2010,29
2011,23
2012,28
