year,Kendrick (F),Kendrick (M)
1880,0.000000,0.000000
1881,0.000000,0.000000
1882,0.000000,0.000000
1883,0.000000,0.000000
1884,0.000000,0.000000
1885,0.000000,0.000000
1886,0.000000,0.000000
1887,0.000000,0.000000
1888,0.000000,0.000000
1889,0.000000,0.000000
1890,0.000000,0.000000
1891,0.000000,0.000000
1892,0.000000,0.000000
1893,0.000000,0.000000
1894,0.000000,0.000000
1895,0.000000,0.000000
1896,0.000000,0.000000
1897,0.000000,0.000000
1898,0.000000,0.000000
1899,0.000000,0.000000
1900,0.000000,0.000000
1901,0.000000,0.000000
1902,0.000000,0.000000
1903,0.000000,0.000000
1904,0.000000,0.000000
1905,0.000000,0.000000
1906,0.000000,0.000000
1907,0.000000,0.000000
1908,0.000000,0.000000
1909,0.000000,0.000000
1910,0.000000,0.000000
1911,0.000000,0.000000
1912,0.000000,0.000005
1913,0.000000,0.000012
1914,0.000000,0.000012
1915,0.000000,0.000009
1916,0.000000,0.000007
1917,0.000000,0.000009
1918,0.000000,0.000005
1919,0.000000,0.000008
1920,0.000000,0.000009
1921,0.000000,0.000006
1922,0.000000,0.000008
1923,0.000000,0.000003
1924,0.000000,0.000012
1925,0.000000,0.000009
1926,0.000000,0.000004
1927,0.000000,0.000006
1928,0.000000,0.000012
1929,0.000000,0.000010
1930,0.000000,0.000005
1931,0.000000,0.000004
1932,0.000000,0.000008
1933,0.000000,0.000007
1934,0.000000,0.000007
1935,0.000000,0.000009
1936,0.000000,0.000003
1937,0.000000,0.000004
1938,0.000000,0.000009
1939,0.000000,0.000005
1940,0.000000,0.000009
1941,0.000000,0.000011
1942,0.000000,0.000009
1943,0.000000,0.000009
1944,0.000000,0.000007
1945,0.000000,0.000006
1946,0.000000,0.000005
1947,0.000000,0.000006
1948,0.000000,0.000006
1949,0.000000,0.000007
1950,0.000000,0.000007
1951,0.000000,0.000007
1952,0.000000,0.000006
1953,0.000000,0.000006
1954,0.000000,0.000006
1955,0.000000,0.000008
1956,0.000000,0.000007
1957,0.000000,0.000008
1958,0.000000,0.000007
1959,0.000000,0.000009
1960,0.000000,0.000008
1961,0.000000,0.000013
1962,0.000000,0.000010
1963,0.000000,0.000014
1964,0.000000,0.000016
1965,0.000000,0.000018
1966,0.000000,0.000020
1967,0.000000,0.000029
1968,0.000000,0.000032
1969,0.000000,0.000036
1970,0.000000,0.000062
1971,0.000002,0.000108
1972,0.000002,0.000096
1973,0.000003,0.000120
1974,0.000002,0.000121
1975,0.000003,0.000121
1976,0.000003,0.000136
1977,0.000003,0.000149
1978,0.000004,0.000156
1979,0.000002,0.000165
1980,0.000001,0.000136
1981,0.000003,0.000136
1982,0.000003,0.000142
1983,0.000002,0.000135
1984,0.000003,0.000135
1985,0.000002,0.000130
1986,0.000003,0.000161
1987,0.000005,0.000178
1988,0.000002,0.000174
1989,0.000002,0.000184
1990,0.000002,0.000184
1991,0.000003,0.000196
1992,0.000002,0.000176
1993,0.000004,0.000167
1994,0.000002,0.000168
1995,0.000001,0.000155
1996,0.000002,0.000156
1997,0.000002,0.000155
1998,0.000001,0.000153
1999,0.000002,0.000150
2000,0.000002,0.000137
2001,0.000002,0.000126
2002,0.000000,0.000126
2003,0.000003,0.000139
2004,0.000002,0.000121
2005,0.000000,0.000113
2006,0.000001,0.000122
2007,0.000001,0.000118
2008,0.000000,0.000132
2009,0.000000,0.000129
2010,0.000002,0.000135
2011,0.000002,0.000135
2012,0.000001,0.000157
2013,0.000002,0.000289
