year,Kirstin
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,0
1898,0
1899,0
1900,0
1901,0
1902,0
1903,0
1904,0
1905,0
1906,0
1907,0
1908,0
1909,0
1910,0
1911,0
1912,0
1913,0
1914,0
1915,0
1916,0
1917,0
1918,0
1919,0
1920,0
1921,0
1922,0
1923,0
1924,0
1925,0
1926,0
1927,0
1928,0
1929,0
1930,0
1931,0
1932,0
1933,0
1934,0
1935,0
1936,0
1937,0
1938,0
1939,0
1940,0
1941,0
1942,6
1943,0
1944,0
1945,0
1946,0
1947,0
1948,5
1949,0
1950,0
1951,0
1952,0
1953,6
1954,6
1955,0
1956,6
1957,0
1958,12
1959,21
1960,24
1961,25
1962,28
1963,39
1964,69
1965,62
1966,81
1967,102
1968,153
1969,164
1970,154
1971,151
1972,133
1973,137
1974,146
1975,144
1976,113
1977,146
1978,141
1979,165
1980,155
1981,137
1982,141
1983,159
1984,166
1985,157
1986,146
1987,196
1988,259
1989,351
1990,413
1991,409
1992,402
1993,298
1994,268
1995,280
1996,308
1997,254
1998,236
1999,240
2000,219
2001,185
2002,197
2003,156
2004,131
2005,132
2006,117
2007,98
2008,75
2009,51
2010,43
2011,32
2012,33
