year,Kathlyn
1880,0
1881,0
1882,0
1883,0
1884,0
1885,0
1886,0
1887,0
1888,0
1889,0
1890,0
1891,0
1892,0
1893,0
1894,0
1895,0
1896,0
1897,5
1898,8
1899,7
1900,12
1901,10
1902,5
1903,8
1904,9
1905,8
1906,0
1907,5
1908,9
1909,10
1910,0
1911,15
1912,12
1913,28
1914,101
1915,108
1916,86
1917,73
1918,77
1919,65
1920,66
1921,81
1922,67
1923,63
1924,58
1925,27
1926,39
1927,39
1928,33
1929,39
1930,33
1931,26
1932,24
1933,18
1934,19
1935,35
1936,27
1937,30
1938,22
1939,34
1940,33
1941,42
1942,36
1943,52
1944,72
1945,65
1946,88
1947,107
1948,117
1949,116
1950,102
1951,125
1952,102
1953,110
1954,80
1955,77
1956,80
1957,66
1958,48
1959,61
1960,53
1961,48
1962,37
1963,35
1964,52
1965,23
1966,34
1967,32
1968,38
1969,30
1970,25
1971,26
1972,23
1973,19
1974,22
1975,25
1976,20
1977,19
1978,26
1979,18
1980,30
1981,28
1982,32
1983,34
1984,29
1985,33
1986,50
1987,47
1988,53
1989,46
1990,53
1991,45
1992,76
1993,54
1994,66
1995,46
1996,43
1997,35
1998,33
1999,38
2000,53
2001,42
2002,34
2003,41
2004,44
2005,39
2006,42
2007,34
2008,23
2009,31
2010,15
2011,20
2012,15
